name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Abaqus,,https://www.simulia.com,,,,,,graduated,,,,Finite element analysis software,,,,,,,,,,,,Engineering & Simulation,FEA & Structural Analysis,,,,,,,,,,,,,,,,,,,,,,,,
ABINIT,,https://www.abinit.org,,,,,,graduated,,,,First-principles calculation suite,,,,,,,,,,,,Physics & Material Science,DFT & Electronic Structure,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm Visualizer,,https://algorithm-visualizer.org/,,,,,,graduated,,,,Interactive tool to visualize algorithms,,,,,,,,,,,,Data & Visualization Resources,Visualization & Algorithm Tools,,,,,,,,,,,,,,,,,,,,,,,,
Amira,,https://www.thermofisher.com/us/en/home/electron-microscopy/products/software-em-3d-vis/amira-software.html,,,,,,graduated,,,,Statistical Parametric Mapping,,,,,,,,,,,,Neuroimaging & Brain Computing,Neuroimaging Platforms,,,,,,,,,,,,,,,,,,,,,,,,
ANSYS,,https://www.ansys.com/,,,,,,graduated,,,,Engineering simulation software suite,,,,,,,,,,,,Engineering & Simulation,FEA & Structural Analysis,,,,,,,,,,,,,,,,,,,,,,,,
APT,,https://www.stsci.edu/scientific-community/software/astronomers-proposal-tool-apt,,,,,,graduated,,,,Astronomers Proposal Tool,,,,,,,,,,,,Space Science & Astronomy,Proposal & Observation Planning,,,,,,,,,,,,,,,,,,,,,,,,
ArcGIS,,https://www.esri.com,,,,,,graduated,,,,GIS mapping platform,,,,,,,,,,,,Geospatial & Mapping,GIS Platforms,,,,,,,,,,,,,,,,,,,,,,,,
AutoCAD,,https://www.autodesk.com,,,,,,graduated,,,,Professional design and drafting software,,,,,,,,,,,,Engineering & Simulation,CAD & Design,,,,,,,,,,,,,,,,,,,,,,,,
Avogadro,,https://avogadro.cc,,,,,,graduated,,,,Molecular editor and visualization,,,,,,,,,,,,Chemistry & Molecular Modeling,Molecular Visualization,,,,,,,,,,,,,,,,,,,,,,,,
Azure Maps,,https://azure.microsoft.com/en-us/services/cognitive-services/maps,,,,,,graduated,,,,Cloud mapping service,,,,,,,,,,,,Geospatial & Mapping,Location & Mapping Platforms,,,,,,,,,,,,,,,,,,,,,,,,
Bioconductor,,https://www.bioconductor.org,,,,,,graduated,,,,Bioinformatics tools for R,,,,,,,,,,,,Bioinformatics,Statistical Platforms,,,,,,,,,,,,,,,,,,,,,,,,
