project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
abaqus,graduated,,,,,,,0,
abinit,graduated,,,,,,,0,
algorithm visualizer,graduated,,,,,,,0,
amira,graduated,,,,,,,0,
ansys,graduated,,,,,,,0,
apt,graduated,,,,,,,0,
arcgis,graduated,,,,,,,0,
autocad,graduated,,,,,,,0,
avogadro,graduated,,,,,,,0,
azure maps,graduated,,,,,,,0,
bioconductor,graduated,,,,,,,0,
biojava,graduated,,,,,,,0,
bioperl,graduated,,,,,,,0,
biopython,graduated,,,,,,,0,
bokeh,graduated,,,,,,,0,
brainforge,graduated,,,,,,,0,
caffe,graduated,,,,,,,0,
castep,graduated,,,,,,,0,
catia,graduated,,,,,,,0,
ccmc,graduated,,,,,,,0,
cesium,graduated,,,,,,,0,
chainer,graduated,,,,,,,0,
chemdraw,graduated,,,,,,,0,
civil 3d,graduated,,,,,,,0,
ckan,graduated,,,,,,,0,
cntk,graduated,,,,,,,0,
coiled,graduated,,,,,,,0,
comsol,graduated,,,,,,,0,
dask,graduated,,,,,,,0,
data.gov,graduated,,,,,,,0,
earthdata - nasa earth data,graduated,,,,,,,0,
earthdata opendap,graduated,,,,,,,0,
elk,graduated,,,,,,,0,
exciting,graduated,,,,,,,0,
exposure time calculator,graduated,,,,,,,0,
fhi-aims,graduated,,,,,,,0,
freesurfer,graduated,,,,,,,0,
gamess,graduated,,,,,,,0,
garfield++,graduated,,,,,,,0,
gaussian,graduated,,,,,,,0,
gdal,graduated,,,,,,,0,
geant4,graduated,,,,,,,0,
google earth engine,graduated,,,,,,,0,
google maps platform,graduated,,,,,,,0,
gpaw,graduated,,,,,,,0,
hadoop,graduated,,,,,,,0,
here maps,graduated,,,,,,,0,
jist,graduated,,,,,,,0,
julia,graduated,,,,,,,0,
jupyter book,graduated,,,,,,,0,
keras,graduated,,,,,,,0,
keras.js,graduated,,,,,,,0,
labview,graduated,,,,,,,0,
lammps,graduated,,,,,,,0,
leaflet,graduated,,,,,,,0,
lmsal,graduated,,,,,,,0,
mapbox,graduated,,,,,,,0,
mapbox gl js,graduated,,,,,,,0,
mapbox studio,graduated,,,,,,,0,
maple,graduated,,,,,,,0,
mapnik,graduated,,,,,,,0,
mapserver,graduated,,,,,,,0,
maptiler,graduated,,,,,,,0,
materials project,graduated,,,,,,,0,
mathcad,graduated,,,,,,,0,
mathematica,graduated,,,,,,,0,
matlab,graduated,,,,,,,0,
matplotlib,graduated,,,,,,,0,
mcnp,graduated,,,,,,,0,
mimneuro,graduated,,,,,,,0,
molcas,graduated,,,,,,,0,
molpro,graduated,,,,,,,0,
mxnet,graduated,,,,,,,0,
mysql,graduated,,,,,,,0,
nasa act,graduated,,,,,,,0,
nasa data api,graduated,,,,,,,0,
nasa opera,graduated,,,,,,,0,
nasa pds api,graduated,,,,,,,0,
nasa quantum initiative,graduated,,,,,,,0,
neuroconductor,graduated,,,,,,,0,
neurodesk,graduated,,,,,,,0,
neurosky,graduated,,,,,,,0,
nitrc,graduated,,,,,,,0,
numpy,graduated,,,,,,,0,
nwchem,graduated,,,,,,,0,
openbci,graduated,,,,,,,0,
openfoam,graduated,,,,,,,0,
openlayers,graduated,,,,,,,0,
openmx,graduated,,,,,,,0,
paddlepaddle,graduated,,,,,,,0,
pandas,graduated,,,,,,,0,
phet,graduated,,,,,,,0,
pluto.jl,graduated,,,,,,,0,
power bi,graduated,,,,,,,0,
psi4,graduated,,,,,,,0,
pymol,graduated,,,,,,,0,
python,graduated,,,,,,,0,
pytorch,graduated,,,,,,,0,
q-chem,graduated,,,,,,,0,
qgis,graduated,,,,,,,0,
quantum espresso,graduated,,,,,,,0,
r,graduated,,,,,,,0,
roman research nexus,graduated,,,,,,,0,
sap2000,graduated,,,,,,,0,
scala,graduated,,,,,,,0,
scale,graduated,,,,,,,0,
scipy,graduated,,,,,,,0,
seaborn,graduated,,,,,,,0,
serpent,graduated,,,,,,,0,
siesta,graduated,,,,,,,0,
simulink,graduated,,,,,,,0,
smiles,graduated,,,,,,,0,
solidworks,graduated,,,,,,,0,
spark,graduated,,,,,,,0,
spartan,graduated,,,,,,,0,
spm,graduated,,,,,,,0,
tensorflow,graduated,,,,,,,0,
tensorflow.js,graduated,,,,,,,0,
theano,graduated,,,,,,,0,
three.js,graduated,,,,,,,0,
torchscript,graduated,,,,,,,0,
tpot,graduated,,,,,,,0,
turbomole,graduated,,,,,,,0,
vasp,graduated,,,,,,,0,
wolfram alpha,graduated,,,,,,,0,
